,0
RMPL,0.02152474296766187
PKGP,0.03298134467795341
PGLC,0.005332290978906719
NESTLE,0.025966554644780426
UPFL,0.02732925849559122
BIPL,0.01436720367074129
IBFL,0.009632856742210457
PSEL,0.008650933144362626
MCB,0.06834717829884619
NBP,0.012268859444091848
KAPCO,0.01562299388487498
DCR,0.22519661794044266
BNWM,0.006772027157246246
EFUG,0.014120737465381518
BAHL,0.015400756699319026
INDU,0.016710573128090274
PAKT,0.00498249903225891
POML,0.02777631348225226
SRVI,0.01091804899394476
SCBPL,0.008526001842212418
JVDC,0.009954845982572945
SHFA,0.020028272049743785
THALL,0.008019623458222535
ARPL,0.026034492988761614
GADT,0.006514386583639071
AKBL,0.003181965792073052
BOP,0.0022501154785050472
DAWH,0.005836509627854987
ABL,0.018399541054966478
HMB,0.015263244482308005
AICL,0.011856485890040165
FHAM,0.013421783746497544
HGFA,0.0028499554110443972
FATIMA,0.01130563855035146
NATF,0.007543942425045784
PIOC,0.004825681373313673
COLG,0.01833866147102018
BWCL,0.009491865676857615
ENGRO,0.007756918283811232
FFC,0.013288823913507716
MEBL,0.005241786358483779
UBL,0.009070937561390536
BAFL,0.0068400854163040425
MTL,0.006111272622369133
ILP,0.004802849074552303
YOUW,0.0009574005424477005
ABOT,0.003977500119825127
HINOON,0.0030141499967485537
AGP,0.0026214517129110504
GLAXO,0.004869426196974841
MUREB,0.0035986625590933175
NCL,0.00391384871784382
SPWL,0.008952100654706736
HBL,0.009732016192617661
MARI,0.002130794759381998
FABL,0.002874173821050204
NML,0.004887950445465888
SHEL,0.0020989743577814798
ISL,0.004978724722361674
UNITY,0.0011958974231177121
KOHC,0.0028016059964262718
INIL,0.0026071350418014707
CEPB,0.0015896404210864804
SEARL,0.0010493724331820055
OGDC,0.00094526232426481
PPL,0.0007013040643153549
PSO,0.0012234459493807555
KEL,0.0010352836855092
SNGP,0.0014045532392004834
GATM,0.0032606287922181034
MUGHAL,0.0014469975960664867
PSX,0.0008252362251880609
CNERGY,0.0005291666503275185
ATRL,0.0008956034708338245
NRL,0.001203674097504428
PAEL,0.0008921316931967401
DGKC,0.0019133856632272978
FCCL,0.00368609256890077
MLCF,0.003363514912998347
CHCC,0.003248084262876862
LUCK,0.008711305826992227
PIBTL,0.0009810965747728284
SYS,0.005868281187734018
AVN,0.00315268637255334
TRG,0.0011832278985785488
FCEPL,0.001687321171508472
GHGL,0.005890834700795111
FFBL,0.0014760003478513242
HUBC,0.007030378049550935
KTML,0.0023428675259671255
TGL,0.004459884105706433
EPCL,0.010653199166757102
APL,0.0035004311575155306
POL,0.012947222869566379
EFERT,0.00459587693084863
LOTCHEM,0.0028866850855065232
LCI,0.0032382765550928575
PKGS,0.003735725976475037
PTC,0.0005760292209883821
